id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
86,86,224836,,,,,0.017361,69.603505,272.4796,11.53,2.67,0.0,8.050,0.873,B9,0.018,94.962169,0.431695,255.396031,-0.00000337,0.00001521,0.00000123,0.004545022116401971,1.2148103272645938,0.00000005589901736805555,0.000000012944525,,,Cep,1,86,,38.976245309771954,,,
87,87,224829,,,,,0.017433,-5.835002,340.1361,-7.83,-10.91,0.0,7.800,0.142,F5,0.430,338.370259,1.544324,-34.579615,-0.00000177,-0.00001292,-0.00001790,0.00456397484202711,-0.10183999981525499,-0.0000000379609111875,-0.000000052893172,,,Psc,1,87,,76.41876239634672,,,
88,88,224834,9081,,Tau Phe,,0.017941,-48.809876,181.8182,-17.92,-6.75,8.0,5.710,-0.588,G8III,0.911,119.736878,0.562356,-136.823418,0.00000099,-0.00001579,-0.00001008,0.004696959812148889,-0.8518930353430763,-0.00000008687861155555555,-0.000000032724923,Tau,,Phe,1,88,,149.69248567600363,,,
89,89,224837,,,,,0.018477,53.166943,581.3953,0.68,0.03,0.0,7.870,-0.952,K2,1.566,348.533968,1.685962,465.340440,-0.00000008,0.00000192,0.00000005,0.004837237846413993,0.927938200272635,0.000000003296733027777778,0.000000000145444,,,Cas,1,89,,209.3148303447447,,,
90,90,224842,,,,,0.018671,-41.887544,113.2503,25.10,-46.98,0.0,7.640,2.370,F5IV/V,0.500,84.308939,0.412135,-75.613910,-0.00001729,0.00001370,-0.00001920,0.004887981772045921,-0.7310755549478362,0.00000012168823381944444,-0.000000227765467,,,Phe,1,90,,9.81747943019984,,,
91,91,224840,,,,,0.018702,-5.874348,301.2048,-15.41,-6.09,0.0,7.660,0.266,K0,1.300,299.619504,1.467004,-30.827462,-0.00000080,-0.00002251,-0.00000885,0.004896188289353481,-0.10252670834508876,-0.00000007470978817361111,-0.000000029525153,,,Psc,1,91,,68.17105263058534,,,
92,92,224841,,,,,0.019379,-20.705550,404.8583,27.51,15.15,0.0,8.680,0.643,G8III,0.944,378.703543,1.921411,-143.143907,0.00001024,0.00005404,0.00002781,0.005073530007130807,-0.36138001431887,0.00000013337224352083335,0.000000073449272,,,Cet,1,92,,48.17259035591632,,,
93,93,224839,,,,,0.019490,-0.076098,61.1995,54.94,-73.28,0.0,8.120,4.186,F8V,0.619,61.198649,0.312274,-0.081283,-0.00000011,0.00001630,-0.00002174,0.005102574620565851,-0.00132816762531875,0.0000002663566360972222,-0.000000355271465,,,Psc,1,93,,1.8433168795057542,,,
94,94,,,,,,0.019665,-32.756836,90.7441,50.32,-12.69,0.0,10.100,5.311,G2,0.644,76.312459,0.392913,-49.099347,-0.00000313,0.00002212,-0.00000469,0.005148287634635486,-0.57171464932499,0.00000024395824405555557,-0.000000061522856,,,Scl,1,94,,0.6540335094488948,,10.152,10.042
95,95,224847,,,,,0.020134,-11.964034,149.2537,-9.94,-13.75,0.0,8.670,2.800,F5V,0.513,146.009571,0.769644,-30.939939,-0.00000202,-0.00000720,-0.00000973,0.005271149333301337,-0.20881177729145875,-0.000000048190479847222213,-0.000000066661881,,,Cet,1,95,,6.606934480075959,,,
96,96,,,,,,0.020330,13.975088,35.1494,20.59,139.82,0.0,10.460,7.730,M0,1.360,34.108524,0.181537,8.488580,-0.00000577,0.00000348,0.00002312,0.005322267452447231,0.24391129933177,0.0000000998231368263889,0.000000677866488,,,Peg,1,96,,0.07046930689671463,,10.732,10.382
97,98,224851,,,,,0.020478,-52.798575,174.8252,-2.09,1.70,0.0,9.870,3.657,F6/F7V,0.551,105.701105,0.566682,-139.250874,0.00000116,-0.00000177,0.00000087,0.005361180339698168,-0.92150897988397,-0.00000001013260592361111,0.000000008241832,,,Phe,1,97,,3.0005440024430934,,9.931,9.811
98,97,224849,,,,,0.020492,-21.404042,180.1802,18.34,1.21,0.0,9.480,3.201,F5V,0.530,167.750771,0.899961,-65.755407,0.00000030,0.00001602,0.00000098,0.005364759004753872,-0.37357101067035625,0.00000008891482901388888,0.000000005866245,,,Cet,1,98,,4.5666738964953115,,,
99,99,224855,,,,,0.021069,60.355282,877.1930,9.57,-6.49,-34.0,7.040,-2.675,C5p,2.835,433.870743,2.393403,762.376203,0.00000656,0.00004073,-0.00004387,0.005515926970855755,1.0533983936864386,0.00000004639666922916667,-0.000000031464407,,,Cas,1,99,,1023.2929922807537,WZ,7.276,6.836
100,100,224844,,,,,0.021092,19.741243,184.1621,-29.13,-30.14,0.0,8.440,2.114,G0,0.898,173.335818,0.957136,62.204960,0.00000923,-0.00002596,-0.00002533,0.005521880270529974,0.34454969142512376,-0.00000014122622514583334,-0.000000146122843,,,Peg,1,100,,12.427964384409151,,,
101,101,224864,,,,,0.021315,-47.793831,120.0480,-14.29,-0.62,0.0,9.880,4.483,F5IV/V,0.509,80.647032,0.450014,-88.923428,-0.00000022,-0.00000832,-0.00000024,0.0055802838010941755,-0.8341597193011351,-0.00000006927987495138889,-0.000000003005844,,,Phe,1,101,,1.4021678337057588,,9.948,9.788
102,102,224850,,,,,0.021365,-41.487437,284.9003,17.13,-33.61,0.0,7.050,-0.223,M1III,1.550,213.415758,1.193767,-188.733861,-0.00003088,0.00002349,-0.00003477,0.005593318675105443,-0.7240923797764325,0.00000008304858347916667,-0.000000162945878,,,Phe,1,102,,106.95473105661601,,,
103,103,224853,,,,,0.021475,-68.371127,109.8901,-10.45,-40.28,0.0,8.290,3.085,F6V,0.538,40.504087,0.227686,-102.152833,-0.00001992,-0.00000568,-0.00000791,0.005622027698490842,-1.1933012857258123,-0.00000005066302961805555,-0.00000019528295,,,Tuc,1,103,,5.081594425605605,,,
104,104,224863,,,,,0.021776,-31.899618,97.6562,-39.21,-0.87,0.0,9.340,4.392,F7V,0.543,82.906345,0.472627,-51.604728,-0.00000011,-0.00001856,-0.00000035,0.0057009626648637235,-0.5567533729064412,-0.00000019009544414583335,-0.000000004217879,,,Scl,1,104,,1.5247547676599151,,,
105,105,224854,,,,,0.021855,70.928938,276.2431,-4.90,-8.21,0.0,7.730,0.524,F0,0.455,90.258359,0.516403,261.081237,0.00001043,-0.00000650,-0.00000359,0.005721755136134462,1.2379434987219737,-0.000000023755870347222227,-0.000000039803203,,,Cep,1,105,,53.752664878674445,,,
106,106,224870,9083,,,,0.022013,49.981558,199.6008,13.29,-11.19,-20.0,6.220,-0.281,G7II-III,0.970,128.347884,0.739720,152.861641,-0.00000493,0.00001283,-0.00002263,0.005763021777708776,0.8723427473068125,0.00000006443173814583334,-0.00000005425065,,,Cas,1,106,,112.82361216489925,,,
107,107,224865,9082,,,,0.022255,-50.337373,166.3894,7.34,10.59,2.0,5.530,-0.576,M2III,1.615,106.198875,0.618768,-128.089244,0.00000785,0.00000597,0.00000388,0.005826258371586336,-0.87855289975953,0.00000003558532415277778,0.000000051341768,,,Phe,1,107,,148.04713248976265,,,
108,108,224866,,,,,0.022439,-70.125272,100000.0000,12.75,14.74,0.0,8.530,-11.470,K3II/III,1.315,33995.891035,199.746918,-94043.816883,0.00668351,0.00622020,0.00242923,0.005874501870262369,-1.22391688171156,0.00000006181374427083333,0.000000071461536,,,Tuc,1,108,,3372873.0865886924,,,
109,109,224875,,,,,0.023106,6.791470,172.7116,-3.08,-8.70,0.0,7.230,1.043,F0,0.388,171.496567,1.037433,20.424207,0.00000088,-0.00000257,-0.00000723,0.00604921534271309,0.11853350993558749,-0.00000001493226136111111,-0.00000004217879,,,Psc,1,109,,33.32728995761377,DR,7.255,7.195
110,110,224873,,,,,0.023242,39.610717,49.6278,-29.92,-41.34,0.4,8.610,5.131,G5,0.787,38.232255,0.232625,31.641104,0.00000670,-0.00000716,-0.00000740,0.006084835757784305,0.6913374363077187,-0.00000014505625322222223,-0.000000200421975,,,And,1,110,,0.7719692476102509,,,
111,111,,,,,,0.023314,34.281848,38.4911,258.31,-4.75,0.0,11.280,8.353,M2,1.308,31.803710,0.194195,21.680663,0.00000021,0.00004820,-0.00000073,0.006103672819409627,0.5983311244993214,0.0000012523222182430554,-0.000000023028649,,,And,1,111,,0.03970086781121838,,11.343,11.193
112,112,,,GJ 1293,,,0.023843,-16.948446,32.1234,299.01,-255.05,8.0,10.760,8.226,M1.5V:,1.384,30.727669,0.191824,-9.364349,-0.00000404,0.00004654,-0.00004038,0.006242051362129505,-0.29580618652630497,0.0000014496413862291667,-0.000001236517292,,,Cet,1,112,,0.044627237076225186,,,
